temperature,rainfall,humidity,yeild_apples
88.00,49.00,65.00,89.90
56.00,83.00,36.00,79.90
51.00,67.00,54.00,81.20
47.00,50.00,71.00,81.70
32.00,94.00,71.00,99.20
33.00,21.00,96.00,78.00
100.00,81.00,69.00,111.90
31.00,58.00,22.00,51.50
74.00,96.00,33.00,90.00
79.00,98.00,99.00,132.10
49.00,76.00,38.00,75.50
78.00,51.00,79.00,96.30
28.00,51.00,62.00,71.10
43.00,49.00,55.00,70.40
73.00,62.00,50.00,82.90
41.00,59.00,78.00,88.60
44.00,31.00,52.00,59.90
29.00,97.00,29.00,74.60
38.00,75.00,60.00,84.90
68.00,60.00,29.00,67.80
46.00,71.00,37.00,71.50
44.00,39.00,49.00,62.10
25.00,78.00,31.00,65.10
52.00,84.00,47.00,85.80
20.00,98.00,71.00,97.60
99.00,47.00,67.00,93.40
68.00,83.00,94.00,118.30
38.00,90.00,20.00,68.40
99.00,67.00,43.00,89.00
53.00,71.00,39.00,74.80
85.00,30.00,49.00,69.90
90.00,20.00,43.00,62.80
62.00,67.00,38.00,74.90
81.00,81.00,78.00,111.60
23.00,69.00,65.00,80.40
86.00,66.00,22.00,72.00
58.00,89.00,76.00,107.50
28.00,51.00,88.00,86.70
98.00,33.00,76.00,91.50
41.00,22.00,84.00,73.70
52.00,69.00,60.00,86.10
46.00,68.00,38.00,70.60
87.00,35.00,54.00,76.00
37.00,76.00,74.00,93.50
86.00,80.00,40.00,89.80
57.00,86.00,45.00,87.10
31.00,94.00,87.00,108.50
45.00,31.00,46.00,56.60
26.00,20.00,31.00,36.40
56.00,36.00,68.00,75.60
96.00,96.00,48.00,105.60
35.00,57.00,23.00,52.80
51.00,28.00,78.00,76.10
44.00,40.00,78.00,80.00
69.00,44.00,78.00,89.50
52.00,29.00,84.00,80.50
49.00,91.00,85.00,111.20
44.00,45.00,51.00,66.30
92.00,48.00,78.00,98.40
37.00,30.00,42.00,51.30
62.00,34.00,59.00,71.00
66.00,71.00,61.00,91.90
100.00,77.00,20.00,80.50
95.00,30.00,25.00,58.50
86.00,45.00,100.00,108.30
70.00,60.00,99.00,110.40
37.00,36.00,55.00,62.10
50.00,33.00,26.00,47.10
33.00,40.00,64.00,68.30
86.00,98.00,25.00,89.80
57.00,75.00,21.00,67.20
53.00,24.00,73.00,71.70
34.00,78.00,23.00,63.00
55.00,45.00,42.00,64.20
89.00,84.00,82.00,117.90
68.00,47.00,84.00,94.30
48.00,87.00,38.00,80.70
45.00,67.00,67.00,87.20
44.00,29.00,77.00,73.90
79.00,72.00,58.00,94.50
31.00,70.00,96.00,101.90
31.00,73.00,49.00,75.20
92.00,56.00,85.00,106.60
69.00,60.00,85.00,101.70
66.00,26.00,35.00,53.80
94.00,81.00,79.00,116.10
29.00,71.00,65.00,83.20
23.00,97.00,21.00,68.00
74.00,64.00,85.00,105.20
39.00,86.00,76.00,100.30
22.00,83.00,52.00,79.30
32.00,21.00,59.00,55.50
37.00,87.00,61.00,91.20
29.00,85.00,64.00,89.60
94.00,72.00,48.00,93.00
85.00,83.00,73.00,110.80
48.00,65.00,25.00,61.90
50.00,91.00,77.00,106.70
23.00,36.00,40.00,48.90
46.00,72.00,51.00,80.40
90.00,68.00,95.00,118.00
47.00,58.00,32.00,62.30
80.00,85.00,85.00,117.50
73.00,76.00,36.00,81.50
26.00,89.00,95.00,109.30
84.00,27.00,37.00,60.90
55.00,37.00,57.00,69.20
41.00,97.00,59.00,96.20
30.00,21.00,41.00,44.10
24.00,62.00,32.00,57.40
73.00,58.00,73.00,94.70
57.00,82.00,67.00,98.30
66.00,30.00,60.00,70.80
36.00,87.00,41.00,78.90
96.00,25.00,86.00,92.90
45.00,89.00,20.00,70.00
46.00,72.00,64.00,88.20
77.00,77.00,75.00,106.60
29.00,65.00,62.00,78.40
80.00,44.00,90.00,100.00
43.00,25.00,94.00,81.80
55.00,86.00,76.00,105.10
45.00,53.00,77.00,86.20
35.00,85.00,38.00,75.80
63.00,38.00,22.00,51.10
36.00,87.00,59.00,89.70
92.00,22.00,32.00,57.80
100.00,58.00,90.00,113.00
31.00,98.00,78.00,105.10
86.00,21.00,82.00,85.50
35.00,56.00,60.00,74.50
63.00,37.00,81.00,86.00
45.00,89.00,80.00,106.00
43.00,59.00,61.00,79.00
40.00,47.00,54.00,67.90
83.00,35.00,68.00,83.20
89.00,75.00,55.00,97.20
80.00,52.00,91.00,104.60
100.00,34.00,60.00,83.00
84.00,61.00,31.00,74.30
72.00,46.00,45.00,71.60
95.00,29.00,77.00,89.20
81.00,36.00,28.00,59.10
55.00,65.00,29.00,66.40
60.00,35.00,40.00,59.50
48.00,76.00,85.00,103.40
82.00,91.00,95.00,127.10
48.00,24.00,45.00,53.40
98.00,42.00,28.00,67.20
76.00,81.00,31.00,81.90
93.00,91.00,88.00,126.20
84.00,48.00,57.00,83.40
73.00,48.00,64.00,84.30
55.00,37.00,46.00,62.60
74.00,92.00,90.00,122.20
23.00,44.00,90.00,82.90
52.00,86.00,41.00,83.20
76.00,79.00,25.00,77.30
51.00,22.00,86.00,77.90
25.00,77.00,78.00,92.80
94.00,65.00,74.00,105.10
39.00,32.00,29.00,45.10
87.00,86.00,100.00,129.10
51.00,70.00,29.00,67.70
40.00,40.00,75.00,77.00
37.00,55.00,69.00,80.00
57.00,28.00,25.00,46.10
65.00,63.00,51.00,81.60
42.00,77.00,71.00,93.70
64.00,83.00,72.00,103.90
61.00,80.00,36.00,79.90
98.00,89.00,50.00,103.90
66.00,86.00,77.00,109.00
35.00,76.00,96.00,106.10
30.00,57.00,38.00,60.30
38.00,97.00,98.00,118.70
100.00,73.00,22.00,79.70
20.00,97.00,79.00,101.90
51.00,66.00,100.00,108.30
33.00,62.00,31.00,59.50
58.00,41.00,37.00,60.10
35.00,95.00,25.00,73.00
77.00,34.00,64.00,78.50
49.00,48.00,86.00,90.30
61.00,28.00,55.00,65.30
27.00,55.00,86.00,87.20
67.00,69.00,23.00,68.40
55.00,79.00,79.00,103.40
25.00,98.00,72.00,99.70
27.00,60.00,40.00,62.10
40.00,93.00,82.00,107.70
33.00,58.00,75.00,83.90
85.00,95.00,73.00,116.80
79.00,50.00,47.00,76.90
79.00,21.00,22.00,47.40
39.00,22.00,76.00,68.30
25.00,85.00,78.00,96.80
81.00,96.00,63.00,110.10
90.00,76.00,61.00,101.60
58.00,31.00,27.00,49.10
49.00,40.00,34.00,55.10
60.00,35.00,43.00,61.30
63.00,85.00,56.00,95.00
28.00,32.00,28.00,41.20
46.00,54.00,57.00,75.00
36.00,52.00,96.00,94.40
82.00,74.00,44.00,88.00
48.00,35.00,35.00,52.90
96.00,30.00,25.00,58.80
65.00,83.00,77.00,107.20
80.00,63.00,51.00,86.10
85.00,96.00,78.00,120.30
83.00,42.00,83.00,95.70
84.00,25.00,72.00,80.90
54.00,60.00,80.00,94.20
62.00,70.00,97.00,111.80
79.00,63.00,57.00,89.40
58.00,81.00,43.00,83.70
30.00,40.00,72.00,72.20
86.00,89.00,23.00,84.10
80.00,35.00,49.00,70.90
69.00,60.00,85.00,101.70
42.00,48.00,94.00,93.00
36.00,99.00,49.00,89.70
58.00,98.00,22.00,79.60
56.00,90.00,91.00,116.40
57.00,95.00,88.00,117.40
21.00,30.00,30.00,39.30
80.00,86.00,80.00,115.00
21.00,80.00,83.00,96.10
92.00,28.00,89.00,95.00
78.00,51.00,29.00,66.30
38.00,32.00,36.00,49.00
90.00,81.00,58.00,102.30
56.00,30.00,72.00,75.00
44.00,26.00,21.00,38.80
68.00,99.00,35.00,90.90
55.00,24.00,63.00,66.30
45.00,27.00,45.00,54.00
30.00,28.00,51.00,53.60
71.00,65.00,45.00,80.80
52.00,76.00,22.00,66.80
68.00,40.00,86.00,92.00
76.00,35.00,57.00,74.50
60.00,70.00,32.00,72.20
41.00,59.00,21.00,54.40
83.00,40.00,21.00,57.50
99.00,61.00,53.00,92.00
71.00,72.00,95.00,114.30
49.00,68.00,86.00,100.30
21.00,96.00,79.00,101.70
47.00,31.00,51.00,60.20
90.00,69.00,100.00,121.50
34.00,71.00,26.00,61.30
68.00,81.00,71.00,103.50
22.00,33.00,64.00,61.50
54.00,61.00,35.00,67.70
67.00,41.00,45.00,67.60
94.00,81.00,20.00,80.70
91.00,99.00,66.00,116.40
57.00,25.00,95.00,86.60
38.00,66.00,65.00,83.40
73.00,47.00,45.00,72.40
83.00,52.00,54.00,83.30
41.00,36.00,44.00,56.70
88.00,82.00,27.00,83.60
43.00,47.00,28.00,53.20
23.00,24.00,94.00,75.30
26.00,98.00,31.00,75.40
81.00,44.00,24.00,60.70
53.00,96.00,72.00,107.10
30.00,84.00,91.00,105.60
29.00,42.00,41.00,54.30
61.00,27.00,66.00,71.40
47.00,82.00,24.00,69.50
25.00,63.00,98.00,97.80
54.00,65.00,73.00,92.50
54.00,79.00,71.00,98.30
98.00,78.00,94.00,124.80
35.00,41.00,53.00,62.80
56.00,22.00,26.00,43.40
86.00,30.00,99.00,100.20
76.00,23.00,96.00,91.90
64.00,90.00,80.00,112.20
42.00,99.00,46.00,89.70
47.00,66.00,31.00,65.70
72.00,78.00,73.00,104.40
34.00,33.00,99.00,86.10
67.00,74.00,51.00,87.70
64.00,94.00,35.00,87.20
42.00,87.00,52.00,87.30
89.00,81.00,74.00,111.60
92.00,90.00,93.00,128.40
86.00,64.00,99.00,117.20
76.00,20.00,68.00,73.60
95.00,69.00,42.00,88.20
53.00,77.00,46.00,82.00
45.00,34.00,83.00,80.30
54.00,66.00,30.00,67.20
36.00,34.00,25.00,42.80
65.00,96.00,23.00,81.30
78.00,93.00,95.00,126.90
50.00,35.00,66.00,72.10
94.00,35.00,67.00,85.90
77.00,76.00,57.00,95.30
95.00,61.00,66.00,98.60
99.00,96.00,97.00,135.90
20.00,28.00,37.00,42.20
70.00,25.00,34.00,53.90
20.00,74.00,57.00,77.20
26.00,39.00,53.00,59.10
65.00,74.00,93.00,112.30
54.00,83.00,98.00,116.50
26.00,25.00,88.00,73.10
69.00,80.00,41.00,85.30
41.00,75.00,93.00,105.60
68.00,64.00,99.00,111.80
88.00,66.00,90.00,113.40
81.00,88.00,39.00,91.70
65.00,34.00,32.00,55.70
85.00,59.00,38.00,77.80
34.00,83.00,67.00,91.90
92.00,22.00,47.00,66.80
92.00,59.00,78.00,103.90
72.00,25.00,66.00,73.70
94.00,68.00,25.00,77.20
65.00,82.00,91.00,115.10
65.00,96.00,48.00,96.30
29.00,54.00,24.00,50.10
68.00,52.00,60.00,82.40
57.00,71.00,85.00,103.60
72.00,95.00,52.00,100.30
39.00,21.00,27.00,38.40
39.00,54.00,37.00,60.90
77.00,32.00,45.00,66.10
89.00,88.00,45.00,97.70
36.00,97.00,21.00,71.90
26.00,78.00,46.00,74.40
73.00,96.00,87.00,122.10
23.00,45.00,72.00,72.60
69.00,43.00,34.00,62.60
85.00,55.00,96.00,110.60
81.00,97.00,75.00,117.80
68.00,72.00,85.00,107.40
21.00,22.00,64.00,55.70
50.00,22.00,95.00,83.00
53.00,93.00,28.00,79.20
85.00,100.00,32.00,94.70
56.00,58.00,47.00,74.00
42.00,61.00,44.00,69.50
56.00,82.00,38.00,80.60
96.00,43.00,59.00,85.70
46.00,75.00,56.00,84.90
76.00,21.00,71.00,75.90
89.00,72.00,32.00,81.90
45.00,72.00,90.00,103.50
47.00,95.00,79.00,109.00
98.00,50.00,31.00,73.00
69.00,32.00,54.00,69.10
49.00,32.00,59.00,66.10
76.00,48.00,64.00,85.20
76.00,51.00,62.00,85.50
34.00,71.00,49.00,75.10
71.00,34.00,83.00,88.10
22.00,48.00,86.00,82.20
84.00,78.00,73.00,108.00
24.00,93.00,24.00,68.10
37.00,81.00,82.00,100.80
49.00,77.00,82.00,102.40
88.00,72.00,97.00,120.60
32.00,46.00,80.00,80.60
82.00,85.00,63.00,104.90
39.00,45.00,99.00,93.60
37.00,92.00,26.00,72.70
99.00,26.00,94.00,99.10
60.00,85.00,29.00,77.90
75.00,93.00,78.00,115.80
34.00,40.00,42.00,55.40
81.00,52.00,33.00,70.10
70.00,44.00,91.00,97.60
88.00,55.00,96.00,111.50
42.00,51.00,25.00,53.10
26.00,57.00,29.00,53.70
74.00,68.00,70.00,98.20
37.00,63.00,79.00,90.00
48.00,73.00,22.00,64.10
97.00,92.00,59.00,110.50
99.00,62.00,96.00,118.30
24.00,75.00,60.00,80.70
52.00,80.00,36.00,77.20
29.00,75.00,92.00,101.40
47.00,39.00,74.00,78.00
34.00,35.00,86.00,79.30
52.00,51.00,25.00,56.10
93.00,42.00,78.00,95.70
81.00,100.00,45.00,101.30
100.00,80.00,26.00,85.60
63.00,48.00,61.00,79.50
48.00,51.00,47.00,68.10
27.00,73.00,78.00,91.40
60.00,98.00,95.00,124.00
78.00,79.00,22.00,76.10
99.00,30.00,42.00,69.90
91.00,27.00,71.00,83.40
85.00,95.00,20.00,85.00
51.00,90.00,39.00,83.70
37.00,67.00,96.00,102.20
46.00,94.00,24.00,75.20
51.00,99.00,37.00,87.00
76.00,39.00,63.00,80.10
74.00,70.00,20.00,69.20
53.00,88.00,26.00,75.50
95.00,69.00,90.00,117.00
64.00,38.00,64.00,76.60
68.00,88.00,22.00,77.60
79.00,55.00,66.00,90.80
87.00,39.00,63.00,83.40
85.00,100.00,90.00,129.50
84.00,40.00,52.00,76.40
55.00,70.00,48.00,80.30
47.00,79.00,57.00,87.80
59.00,52.00,56.00,77.30
84.00,83.00,43.00,92.50
27.00,71.00,70.00,85.60
85.00,81.00,75.00,111.00
40.00,52.00,36.00,59.60
58.00,26.00,84.00,80.80
64.00,92.00,59.00,100.60
63.00,68.00,78.00,99.70
79.00,46.00,73.00,90.50
51.00,68.00,24.00,63.70
54.00,63.00,69.00,89.10
75.00,61.00,68.00,93.80
30.00,48.00,33.00,52.80
96.00,65.00,87.00,113.50
43.00,69.00,48.00,76.20
55.00,87.00,42.00,85.20
88.00,59.00,33.00,75.70
57.00,75.00,91.00,109.20
43.00,59.00,56.00,76.00
88.00,100.00,76.00,122.00
24.00,31.00,62.00,59.90
26.00,37.00,68.00,67.10
73.00,36.00,77.00,86.10
70.00,43.00,79.00,89.90
29.00,91.00,93.00,110.00
49.00,66.00,28.00,64.50
53.00,53.00,85.00,93.40
35.00,28.00,73.00,68.30
94.00,83.00,59.00,105.10
24.00,47.00,39.00,54.10
88.00,43.00,78.00,94.70
28.00,25.00,76.00,66.50
53.00,87.00,30.00,77.40
36.00,55.00,46.00,65.90
27.00,66.00,46.00,68.70
39.00,34.00,55.00,61.70
40.00,43.00,47.00,61.70
34.00,68.00,49.00,73.60
97.00,42.00,26.00,65.70
53.00,54.00,87.00,95.10
51.00,84.00,36.00,78.90
74.00,65.00,94.00,111.10
87.00,44.00,54.00,80.50
42.00,55.00,66.00,79.70
83.00,86.00,37.00,90.10
30.00,50.00,46.00,61.60
36.00,75.00,77.00,94.50
51.00,57.00,20.00,55.80
98.00,35.00,73.00,90.70
66.00,29.00,73.00,78.10
48.00,80.00,41.00,79.00
90.00,83.00,63.00,106.30
52.00,46.00,60.00,74.60
61.00,75.00,75.00,100.80
44.00,34.00,32.00,49.40
69.00,32.00,35.00,57.70
35.00,45.00,36.00,54.60
81.00,65.00,33.00,76.60
21.00,44.00,86.00,79.90
90.00,81.00,83.00,117.30
41.00,86.00,52.00,86.50
35.00,79.00,22.00,63.20
38.00,46.00,94.00,90.80
99.00,35.00,83.00,97.00
48.00,54.00,97.00,99.60
98.00,54.00,34.00,76.80
49.00,62.00,52.00,76.90
28.00,72.00,84.00,94.80
39.00,58.00,66.00,80.30
62.00,59.00,74.00,92.50
49.00,60.00,26.00,60.30
90.00,90.00,47.00,100.20
40.00,32.00,49.00,57.40
62.00,75.00,72.00,99.30
21.00,34.00,32.00,42.50
85.00,38.00,75.00,89.50
81.00,70.00,43.00,85.10
42.00,80.00,69.00,94.00
39.00,21.00,92.00,77.40
94.00,96.00,99.00,135.60
43.00,55.00,42.00,65.60
41.00,85.00,41.00,79.40
57.00,95.00,56.00,98.20
64.00,21.00,20.00,41.70
48.00,23.00,29.00,43.30
43.00,29.00,86.00,79.00
100.00,60.00,50.00,90.00
42.00,27.00,83.00,75.90
42.00,99.00,27.00,78.30
99.00,39.00,88.00,102.00
61.00,20.00,95.00,85.30
64.00,60.00,75.00,94.20
100.00,60.00,27.00,76.20
84.00,35.00,76.00,88.30
75.00,32.00,97.00,96.70
67.00,97.00,96.00,126.20
22.00,24.00,34.00,39.00
37.00,76.00,92.00,104.30
49.00,64.00,83.00,96.50
38.00,22.00,60.00,58.40
81.00,45.00,100.00,106.80
25.00,85.00,77.00,96.20
96.00,66.00,93.00,117.60
74.00,84.00,38.00,87.00
24.00,62.00,22.00,51.40
43.00,24.00,34.00,45.30
92.00,47.00,34.00,71.50
50.00,70.00,60.00,86.00
45.00,86.00,65.00,95.50
35.00,40.00,65.00,69.50
44.00,100.00,63.00,101.00
28.00,42.00,21.00,42.00
52.00,65.00,68.00,88.90
32.00,88.00,89.00,107.00
70.00,55.00,97.00,106.70
55.00,90.00,75.00,106.50
71.00,66.00,39.00,77.70
24.00,51.00,27.00,48.90
83.00,53.00,89.00,104.80
89.00,33.00,38.00,66.00
61.00,71.00,56.00,87.40
65.00,46.00,69.00,83.90
90.00,25.00,90.00,93.50
56.00,66.00,32.00,69.00
20.00,33.00,71.00,65.10
60.00,36.00,23.00,49.80
29.00,30.00,22.00,36.90
61.00,26.00,44.00,57.70
81.00,80.00,57.00,98.50
84.00,32.00,96.00,98.80
27.00,53.00,28.00,51.40
92.00,85.00,89.00,123.50
68.00,63.00,21.00,64.50
22.00,73.00,40.00,67.10
54.00,29.00,93.00,86.50
38.00,23.00,60.00,58.90
43.00,73.00,92.00,104.60
59.00,90.00,31.00,81.30
80.00,57.00,69.00,93.90
72.00,81.00,78.00,108.90
22.00,44.00,61.00,65.20
74.00,82.00,22.00,76.40
69.00,91.00,98.00,125.00
22.00,90.00,37.00,73.80
63.00,33.00,23.00,49.20
62.00,61.00,62.00,86.30
33.00,44.00,87.00,84.10
73.00,53.00,22.00,61.60
76.00,88.00,99.00,126.20
43.00,56.00,77.00,87.10
75.00,83.00,82.00,113.20
32.00,77.00,49.00,77.50
81.00,66.00,29.00,74.70
94.00,51.00,42.00,78.90
35.00,57.00,82.00,88.20
64.00,70.00,60.00,90.20
71.00,30.00,99.00,95.70
30.00,93.00,23.00,69.30
24.00,98.00,90.00,110.20
85.00,89.00,78.00,116.80
28.00,78.00,53.00,79.20
38.00,30.00,27.00,42.60
63.00,70.00,20.00,65.90
100.00,45.00,87.00,104.70
72.00,27.00,81.00,83.70
31.00,97.00,47.00,86.00
21.00,85.00,66.00,88.40
100.00,34.00,44.00,73.40
28.00,89.00,25.00,67.90
38.00,84.00,44.00,79.80
47.00,26.00,45.00,54.10
33.00,70.00,33.00,64.70
35.00,77.00,75.00,94.00
32.00,75.00,85.00,98.10
96.00,74.00,68.00,106.60
51.00,66.00,35.00,69.30
46.00,25.00,86.00,77.90
31.00,39.00,79.00,76.20
26.00,92.00,38.00,76.60
54.00,57.00,50.00,74.70
95.00,39.00,22.00,61.20
74.00,56.00,32.00,69.40
99.00,57.00,86.00,109.80
26.00,22.00,33.00,38.60
87.00,61.00,81.00,105.20
41.00,97.00,40.00,84.80
97.00,67.00,49.00,92.00
99.00,41.00,51.00,80.80
73.00,21.00,56.00,66.00
44.00,22.00,27.00,40.40
53.00,72.00,26.00,67.50
34.00,27.00,95.00,80.70
80.00,49.00,40.00,72.50
93.00,75.00,69.00,106.80
25.00,94.00,90.00,108.50
100.00,31.00,20.00,57.50
57.00,75.00,60.00,90.60
80.00,89.00,74.00,112.90
69.00,38.00,72.00,82.90
50.00,70.00,66.00,89.60
68.00,100.00,55.00,103.40
79.00,58.00,79.00,100.10
86.00,44.00,32.00,67.00
37.00,67.00,98.00,103.40
82.00,65.00,35.00,78.10
32.00,45.00,49.00,61.50
76.00,62.00,30.00,71.80
68.00,35.00,23.00,51.70
60.00,96.00,24.00,80.40
73.00,81.00,27.00,78.60
22.00,49.00,48.00,59.90
29.00,97.00,59.00,92.60
44.00,41.00,61.00,70.30
86.00,97.00,73.00,118.10
67.00,23.00,79.00,79.00
72.00,55.00,52.00,80.30
60.00,21.00,34.00,48.90
86.00,79.00,99.00,124.70
37.00,33.00,60.00,63.60
25.00,68.00,52.00,72.70
86.00,29.00,31.00,58.90
67.00,48.00,32.00,63.30
87.00,63.00,64.00,96.00
20.00,75.00,65.00,82.50
94.00,53.00,45.00,81.70
35.00,28.00,64.00,62.90
69.00,21.00,60.00,67.20
68.00,82.00,33.00,81.20
92.00,32.00,42.00,68.80
65.00,61.00,67.00,90.20
86.00,82.00,67.00,107.00
39.00,95.00,39.00,82.60
76.00,79.00,27.00,78.50
58.00,38.00,83.00,86.20
22.00,55.00,76.00,79.70
59.00,93.00,75.00,109.20
72.00,88.00,36.00,87.20
67.00,60.00,98.00,108.90
71.00,46.00,76.00,89.90
63.00,72.00,97.00,113.10
40.00,37.00,33.00,50.30
51.00,72.00,26.00,66.90
91.00,53.00,93.00,109.60
99.00,66.00,83.00,112.50
23.00,75.00,37.00,66.60
21.00,65.00,27.00,55.00
25.00,57.00,61.00,72.60
89.00,33.00,30.00,61.20
88.00,69.00,51.00,91.50
27.00,72.00,63.00,81.90
68.00,24.00,93.00,88.20
80.00,80.00,33.00,83.80
98.00,30.00,33.00,64.20
87.00,26.00,76.00,84.70
51.00,40.00,28.00,52.10
72.00,57.00,82.00,99.30
23.00,61.00,54.00,69.80
25.00,77.00,62.00,83.20
95.00,86.00,55.00,104.50
50.00,29.00,99.00,88.90
85.00,32.00,72.00,84.70
57.00,63.00,59.00,84.00
73.00,99.00,92.00,126.60
31.00,32.00,49.00,54.70
50.00,94.00,30.00,80.00
71.00,94.00,33.00,88.10
24.00,80.00,48.00,76.00
95.00,63.00,88.00,112.80
21.00,99.00,55.00,88.80
36.00,34.00,89.00,81.20
59.00,33.00,28.00,51.00
51.00,23.00,85.00,77.80
76.00,50.00,79.00,95.20
37.00,69.00,34.00,66.00
33.00,33.00,36.00,48.00
43.00,25.00,87.00,77.60
53.00,23.00,75.00,72.40
42.00,44.00,33.00,54.40
88.00,83.00,53.00,99.70
88.00,38.00,34.00,65.80
55.00,72.00,22.00,65.70
90.00,48.00,94.00,107.40
33.00,86.00,58.00,87.70
80.00,91.00,38.00,92.30
46.00,46.00,36.00,58.40
44.00,29.00,60.00,63.70
83.00,80.00,48.00,93.70
42.00,86.00,47.00,83.80
35.00,58.00,44.00,65.90
81.00,43.00,20.00,57.80
55.00,45.00,49.00,68.40
87.00,28.00,24.00,54.50
31.00,78.00,58.00,83.10
45.00,38.00,29.00,49.90
95.00,52.00,77.00,100.70
63.00,32.00,96.00,92.50
40.00,33.00,58.00,63.30
46.00,91.00,63.00,97.10
80.00,33.00,74.00,84.90
41.00,41.00,39.00,56.20
42.00,96.00,48.00,89.40
41.00,61.00,57.00,77.00
22.00,37.00,90.00,79.10
90.00,64.00,35.00,80.00
81.00,24.00,60.00,72.30
52.00,56.00,34.00,64.00
80.00,32.00,69.00,81.40
86.00,35.00,70.00,85.30
35.00,97.00,65.00,98.00
26.00,30.00,96.00,80.40
60.00,89.00,76.00,108.10
28.00,22.00,93.00,75.20
48.00,93.00,71.00,103.50
40.00,63.00,29.00,60.90
98.00,75.00,58.00,101.70
99.00,97.00,38.00,101.00
45.00,83.00,71.00,97.60
61.00,29.00,100.00,92.80
30.00,36.00,55.00,60.00
49.00,47.00,46.00,65.80
96.00,83.00,58.00,105.10
33.00,51.00,26.00,51.00
52.00,77.00,23.00,67.90
85.00,65.00,28.00,74.80
84.00,51.00,25.00,65.70
51.00,31.00,96.00,88.40
88.00,46.00,35.00,70.40
43.00,59.00,60.00,78.40
30.00,51.00,61.00,71.10
48.00,80.00,42.00,79.60
80.00,66.00,38.00,79.80
73.00,88.00,57.00,100.10
42.00,53.00,74.00,83.50
35.00,40.00,61.00,67.10
26.00,87.00,36.00,72.90
96.00,95.00,34.00,96.70
41.00,58.00,84.00,91.70
99.00,45.00,56.00,85.80
80.00,54.00,75.00,96.00
32.00,81.00,38.00,72.90
65.00,33.00,77.00,82.20
47.00,83.00,26.00,71.20
28.00,62.00,40.00,63.40
59.00,97.00,88.00,119.00
30.00,89.00,29.00,70.90
25.00,23.00,56.00,52.60
44.00,55.00,74.00,85.10
72.00,99.00,92.00,126.30
100.00,49.00,48.00,83.30
96.00,87.00,46.00,99.90
22.00,80.00,47.00,74.80
46.00,49.00,37.00,60.50
58.00,20.00,65.00,66.40
32.00,77.00,87.00,100.30
39.00,20.00,93.00,77.50
38.00,22.00,97.00,80.60
89.00,79.00,88.00,119.00
69.00,90.00,67.00,105.90
84.00,89.00,79.00,117.10
27.00,79.00,100.00,107.60
66.00,88.00,52.00,95.00
45.00,37.00,25.00,47.00
49.00,58.00,40.00,67.70
51.00,100.00,98.00,124.10
91.00,46.00,79.00,97.70
32.00,88.00,93.00,109.40
83.00,97.00,89.00,126.80
79.00,93.00,26.00,85.80
51.00,98.00,20.00,76.30
27.00,27.00,46.00,49.20
42.00,87.00,77.00,102.30
35.00,95.00,46.00,85.60
89.00,40.00,67.00,86.90
37.00,42.00,47.00,60.30
35.00,77.00,51.00,79.60
42.00,40.00,64.00,71.00
28.00,64.00,35.00,61.40
100.00,89.00,94.00,130.90
